,负面情感词语（中文）,正面情感词语（中文）,中性情感词语（中文）
低级,1.0,0.0,0.0
群言堂,0.0,1.0,0.0
欣慰,0.0,1.0,0.0
沉闷,1.0,0.0,0.0
素洁,0.0,1.0,0.0
庆贺,0.0,1.0,0.0
不宁,1.0,0.0,0.0
说,1.0,0.0,0.0
怅,1.0,0.0,0.0
愣要,0.0,1.0,0.0
颤颤悠悠,1.0,0.0,0.0
淳,0.0,1.0,0.0
目中无人,1.0,0.0,0.0
大胆,0.0,1.0,0.0
责,1.0,0.0,0.0
心急,1.0,0.0,0.0
行,0.0,1.0,0.0
蓬茸,0.0,1.0,0.0
爱恋,0.0,1.0,0.0
动态各异,0.0,1.0,0.0
不问青红皂白,1.0,0.0,0.0
欲哭无泪,1.0,0.0,0.0
獪,1.0,0.0,0.0
生死攸关,0.0,1.0,0.0
苍白,1.0,0.0,0.0
低声下气,1.0,0.0,0.0
卑,1.0,1.0,0.0
娇丽,0.0,1.0,0.0
憷,1.0,0.0,0.0
紧巴巴,1.0,0.0,0.0
奢望,0.0,1.0,0.0
落伍,1.0,0.0,0.0
贞,0.0,1.0,0.0
无度,1.0,0.0,0.0
空落落,1.0,0.0,0.0
俯允,0.0,1.0,0.0
皮里阳秋,1.0,0.0,0.0
眷顾,1.0,0.0,0.0
至尊,0.0,1.0,0.0
意意思思,1.0,0.0,0.0
戆头戆脑,1.0,0.0,0.0
醇厚,0.0,1.0,0.0
靓,0.0,1.0,0.0
贤,0.0,1.0,0.0
次等,1.0,0.0,0.0
徒劳无益,1.0,0.0,0.0
幽雅,0.0,1.0,0.0
爽快,0.0,1.0,0.0
前所未有,0.0,1.0,0.0
技高一筹,0.0,1.0,0.0
顾及,0.0,1.0,0.0
老练,0.0,1.0,0.0
惶惶不安,1.0,0.0,0.0
坦坦荡荡,0.0,1.0,0.0
凝重,0.0,1.0,0.0
鸣谢,0.0,1.0,0.0
土里土气,1.0,0.0,0.0
惊呆,1.0,0.0,0.0
潇洒,0.0,1.0,0.0
驽,1.0,0.0,0.0
史无前例,0.0,1.0,0.0
有地位,0.0,1.0,0.0
顾盼自雄,0.0,1.0,0.0
丑,1.0,0.0,0.0
艰辛,1.0,0.0,0.0
着忙,1.0,0.0,0.0
才华横溢,0.0,1.0,0.0
大吉大利,0.0,1.0,0.0
忭,0.0,1.0,0.0
空乏,1.0,0.0,0.0
杂沓,1.0,0.0,0.0
冀,0.0,1.0,0.0
自恃,1.0,0.0,0.0
如痴如狂,0.0,1.0,0.0
心胸开阔,0.0,1.0,0.0
无偿,0.0,1.0,0.0
最好,0.0,1.0,0.0
鸡犬不惊,0.0,1.0,0.0
皞,0.0,1.0,0.0
功德无量,0.0,1.0,0.0
心寒,1.0,0.0,0.0
可恨,1.0,0.0,0.0
确切无疑,0.0,1.0,0.0
好客,0.0,1.0,0.0
面带嗔色,1.0,0.0,0.0
利已,1.0,0.0,0.0
安全,0.0,1.0,0.0
恐怖,1.0,0.0,0.0
窗明几净,0.0,1.0,0.0
误,1.0,0.0,0.0
险阻,1.0,0.0,0.0
丰腴,0.0,1.0,0.0
歆慕,0.0,1.0,0.0
黪,1.0,0.0,0.0
油亮,0.0,1.0,0.0
必修,1.0,0.0,0.0
记挂,0.0,1.0,0.0
看中,0.0,1.0,0.0
臧,0.0,1.0,0.0
熠耀,0.0,1.0,0.0
粗制滥造,1.0,0.0,0.0
烦愁,1.0,0.0,0.0
低等,1.0,0.0,0.0
嶙嶙,1.0,0.0,0.0
羞愧,1.0,0.0,0.0
愁眉紧锁,1.0,0.0,0.0
明快生动,0.0,1.0,0.0
有滋有味,0.0,1.0,0.0
柔肠寸断,1.0,0.0,0.0
沉郁,1.0,0.0,0.0
邪,1.0,0.0,0.0
媢,0.0,1.0,0.0
向下倾斜,1.0,0.0,0.0
动荡,1.0,0.0,0.0
犷,1.0,0.0,0.0
隐晦,1.0,0.0,0.0
如获至宝,0.0,1.0,0.0
被动性,1.0,0.0,0.0
飘飘欲仙,0.0,1.0,0.0
惰,1.0,0.0,0.0
粗,1.0,0.0,0.0
点头哈腰,0.0,1.0,0.0
渺然,1.0,0.0,0.0
怒形于色,1.0,0.0,0.0
残毒,1.0,0.0,0.0
皎,0.0,1.0,0.0
惋惜,1.0,0.0,0.0
令人困倦,1.0,0.0,0.0
背理,1.0,0.0,0.0
魔怔,1.0,0.0,0.0
恨不能,0.0,1.0,0.0
赏罚分明,0.0,1.0,0.0
无情无义,1.0,0.0,0.0
吉星高照,0.0,1.0,0.0
睆,0.0,1.0,0.0
巧夺天工,0.0,1.0,0.0
忉,1.0,0.0,0.0
芳香,0.0,1.0,0.0
单调枯燥,1.0,0.0,0.0
忠贞,0.0,1.0,0.0
急眼,1.0,0.0,0.0
狠心,1.0,0.0,0.0
诡诈,1.0,0.0,0.0
要死要活,0.0,1.0,0.0
超然,1.0,0.0,0.0
低首下心,0.0,1.0,0.0
轻车熟路,0.0,1.0,0.0
手软,0.0,1.0,0.0
树叶茂盛,0.0,1.0,0.0
佶,0.0,1.0,0.0
乖戾,1.0,0.0,0.0
含含混混,1.0,0.0,0.0
真诚,0.0,1.0,0.0
巧黠,1.0,0.0,0.0
垂头丧气,1.0,0.0,0.0
平稳,0.0,1.0,0.0
不管用,1.0,0.0,0.0
蠢头蠢脑,1.0,0.0,0.0
饱学,0.0,1.0,0.0
挂记,1.0,0.0,0.0
秀俊,0.0,1.0,0.0
黠慧,1.0,0.0,0.0
冰清玉洁,0.0,1.0,0.0
一仍旧贯,1.0,0.0,0.0
称颂,0.0,1.0,0.0
宽恕,1.0,0.0,0.0
澄碧,0.0,1.0,0.0
破坏性,1.0,0.0,0.0
家徒壁立,1.0,0.0,0.0
光风霁月,0.0,1.0,0.0
伤悲,1.0,0.0,0.0
历历,0.0,1.0,0.0
英俊,0.0,1.0,0.0
惊怪,1.0,0.0,0.0
上上,0.0,1.0,0.0
圆柔,0.0,1.0,0.0
丰姿绰约,0.0,1.0,0.0
膻腥,1.0,0.0,0.0
挑三拣四,0.0,1.0,0.0
谈吐不俗,0.0,1.0,0.0
失去理性,1.0,0.0,0.0
岸然,1.0,0.0,0.0
心如刀绞,1.0,0.0,0.0
康健,0.0,1.0,0.0
刀光剑影,1.0,0.0,0.0
睁一只眼闭一只眼,1.0,0.0,0.0
热门,0.0,1.0,0.0
两面三刀,1.0,0.0,0.0
冒,1.0,0.0,0.0
不懈,0.0,1.0,0.0
招致不幸,1.0,0.0,0.0
零散,1.0,0.0,0.0
私,1.0,0.0,0.0
饶人,1.0,0.0,0.0
轻浮,1.0,0.0,0.0
皎白,0.0,1.0,0.0
革命性,0.0,1.0,0.0
磕头碰脑,1.0,0.0,0.0
寓意深长,0.0,1.0,0.0
罪孽深重,1.0,0.0,0.0
虚无,1.0,0.0,0.0
渺,1.0,0.0,0.0
粗心大意,1.0,0.0,0.0
绵和,0.0,1.0,0.0
名特优新,0.0,1.0,0.0
理想化,0.0,1.0,0.0
高大,0.0,1.0,0.0
慧,0.0,1.0,0.0
不宜,1.0,0.0,0.0
贫苦,1.0,0.0,0.0
尖酸刻薄,1.0,0.0,0.0
醍醐灌顶,0.0,1.0,0.0
唯利是图,1.0,0.0,0.0
渺渺,1.0,0.0,0.0
险诈,1.0,0.0,0.0
